max_delay,max_freq,logic_area,mem_area,name,dtype,component
1537.1999999999996,520.7790855119259,749.232,0.0,adder_stage_2,fp8,adder
1565.3,513.2679772109018,496.584,0.0,adder_stage_3,fp8,adder
1230.84,619.6401130223567,818.928,0.0,adder_stage_2_fast,fp8,adder
3226.71,277.0305647822124,1271.952,0.0,adder_stage_4,fp8,adder
1838.6099999999997,450.1240091645249,1062.864,0.0,multiplier_stage_2,fp8,multiplier
1445.6799999999998,546.8425312247086,1190.0592000000001,0.0,adder_stage_4_fast,fp8,adder
1926.97,432.90605505699205,1219.6799999999998,0.0,multiplier_stage_4,fp8,multiplier
1394.4399999999998,562.6068953101089,1062.864,0.0,multiplier_stage_2_fast,fp8,multiplier
1585.1,508.10426299476654,662.112,0.0,multiplier_stage_3,fp8,multiplier
1962.6399999999996,426.3228798963184,635.976,0.0,lmul_combinational_simple,fp8,lmul
1406.37,558.8559101806782,1036.728,0.0,lmul_combinational_fast,fp8,lmul
1085.34,681.0411757494859,2103.0768,0.0,lmul_pipelined_fast,fp8,lmul
5449.18,171.46247200875143,3031.776,0.0,multiplier_combinational,fp8,multiplier
1828.47,452.1879112083817,1210.968,0.0,multiplier_stage_4_fast,fp8,multiplier
1585.1,508.10426299476654,670.824,0.0,multiplier_stage_3_fast,fp8,multiplier
1926.97,432.90605505699205,3808.8864000000003,0.0,multiplier,fp8,multiplier
2223.24,383.6945177727301,1998.5328000000002,0.0,lmul_pipelined_simple,fp8,lmul
1908.2399999999998,436.4448944676246,6453.8496000000005,0.0,adder_pipelined_fast,fp8,adder
1828.47,452.1879112083817,3800.1744,0.0,multiplier_fast,fp8,multiplier
1619.7099999999998,499.3234167702763,1942.776,0.0,adder_stage_2_fast,bf16,adder
2773.6000000000004,316.7965532535006,1585.5839999999998,0.0,adder_stage_2,bf16,adder
3090.4000000000005,287.9023435250763,1724.976,0.0,adder_stage_3,bf16,adder
5052.610000000001,183.97199210392208,2631.024,0.0,adder_stage_4,bf16,adder
2015.6699999999998,416.89769747401687,2526.4799999999996,0.0,adder_stage_4_fast,bf16,adder
2499.2400000000002,346.9523703785944,1986.336,0.0,adder_stage_5,bf16,adder
2076.1,406.6528404700907,1533.312,0.0,multiplier_stage_3,bf16,multiplier
4137.380000000002,221.2203398829301,5209.776,0.0,multiplier_stage_2,bf16,multiplier
3431.67,262.1458736928751,3380.256,0.0,multiplier_stage_4,bf16,multiplier
2321.7400000000002,369.7213040809837,5610.528,0.0,multiplier_stage_2_fast,bf16,multiplier
12711.08,76.3703902832425,7910.495999999999,0.0,adder_combinational,bf16,adder
2076.1,406.6528404700907,1603.008,0.0,multiplier_stage_3_fast,bf16,multiplier
6623.480000000001,142.72502026695284,8163.144,0.0,adder_combinational_fast,bf16,adder
4435.440000000001,207.53604901171326,1393.92,0.0,lmul_combinational_simple,bf16,lmul
4137.380000000002,221.2203398829301,10656.5184,0.0,multiplier,bf16,multiplier
5052.610000000001,183.97199210392208,12817.0944,0.0,adder_pipelined,bf16,adder
3090.4000000000005,287.9023435250763,13069.742400000001,0.0,adder_pipelined_fast,bf16,adder
9448.150000000003,101.71749998728528,9844.560000000001,0.0,multiplier_combinational,bf16,multiplier
1610.1699999999998,501.713351093986,2683.296,0.0,lmul_combinational_fast,bf16,lmul
4696.040000000002,196.88760080645153,3969.1872,0.0,lmul_pipelined_simple,bf16,lmul
3037.67,292.34038945586684,3476.088,0.0,multiplier_stage_4_fast,bf16,multiplier
1289.1399999999999,598.0360496130708,4753.2672,0.0,lmul_pipelined_fast,bf16,lmul
2773.6000000000004,316.7965532535006,2421.936,0.0,adder_stage_2,fp32,adder
7238.510000000002,131.20759534527932,10384.704,0.0,multiplier_combinational_fast,bf16,multiplier
1619.7099999999998,499.3234167702763,2779.128,0.0,adder_stage_2_fast,fp32,adder
2742.17,319.98259294694367,11057.2704,0.0,multiplier_fast,bf16,multiplier
3406.3000000000015,263.90098435067154,5392.728,0.0,adder_stage_3,fp32,adder
10734.710000000005,89.94658072570697,8032.464,0.0,adder_stage_4,fp32,adder
4075.2400000000002,224.30376112546656,4495.392,0.0,adder_stage_5,fp32,adder
3731.5800000000017,243.0381715752275,8386.1712,0.0,adder_stage_4_fast,fp32,adder
5428.87,172.0616600164835,9652.895999999999,0.0,multiplier_stage_4,fp32,multiplier
3058.1000000000004,290.60474848159015,4800.312,0.0,multiplier_stage_3,fp32,multiplier
8515.380000000001,112.38000624832833,21035.9952,0.0,adder_combinational_fast,fp32,adder
20074.479999999978,48.88187596908325,20325.096,0.0,adder_combinational,fp32,adder
10734.710000000005,89.94658072570697,29023.1568,0.0,adder_pipelined,fp32,adder
13719.47999999998,70.90951378764596,49693.248,0.0,multiplier_stage_2,fp32,multiplier
4272.24,214.81169606722747,29734.055999999997,0.0,adder_pipelined_fast,fp32,adder
1850.5399999999997,447.7197632457892,6420.744,0.0,lmul_combinational_fast,fp32,lmul
9381.04,102.41662262751893,2648.448,0.0,lmul_combinational_simple,fp32,lmul
9641.64,99.75420563730968,7649.1359999999995,0.0,lmul_pipelined_simple,fp32,lmul
1492.9399999999998,533.0660895337804,10497.960000000001,0.0,lmul_pipelined_fast,fp32,lmul
3058.1000000000004,290.60474848159015,4870.008000000001,0.0,multiplier_stage_3_fast,fp32,multiplier
5034.87,184.57438070680914,9748.728,0.0,multiplier_stage_4_fast,fp32,multiplier
3558.1400000000012,253.73369126699373,52646.616,0.0,multiplier_stage_2_fast,fp32,multiplier
13719.47999999998,70.90951378764596,67805.49600000001,0.0,multiplier,fp32,multiplier
22206.449999999968,44.26845275117373,64076.759999999995,0.0,multiplier_combinational,fp32,multiplier
11651.11,83.09712974204157,67160.808,0.0,multiplier_combinational_fast,fp32,multiplier
4936.369999999999,187.99218704470647,70767.576,0.0,multiplier_fast,fp32,multiplier
